miRBase cluster	Algorithm cluster
uc_hsa-mir-6749	uc_hsa-mir-6749
uc_ath-MIR5024	MIR8646
mir-9418	mir-9418-2
uc_osa-MIR5506	uc_osa-MIR5506
uc_sma-mir-8424	uc_sma-mir-8424
uc_ppc-mir-8309	uc_ppc-mir-8309
uc_mtr-MIR2642	uc_mtr-MIR2642
uc_hsa-mir-3142	uc_hsa-mir-3142
uc_ame-mir-9891	mir-3960
uc_sv40-mir-S1	uc_sv40-mir-S1
uc_sma-mir-8472	uc_sma-mir-8472
uc_hsa-mir-3920	uc_hsa-mir-3920
uc_tca-mir-3837	uc_tca-mir-3837
uc_mml-mir-3577	mir-3577
uc_mdo-mir-7353	uc_mdo-mir-7353
uc_sma-mir-8428	uc_sma-mir-8428
uc_cte-mir-2f	mir-2_6
mir-2162	mir-2162
uc_hco-mir-190	uc_hco-mir-190
uc_mml-mir-7187	uc_mml-mir-7187
mir-6967	mir-6967-2
uc_ppc-mir-8317b	uc_ppc-mir-8317b
